순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"176","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","10","9791188874293","74910","911","4,259",
"177","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","13","9791190630184","67400","408","4,257",
"178","우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ","지은이: 김초엽","허블","2019","","9791190090018","03810","813.7","4,245",
"179","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","27","9791193031100","74910","911","4,234",
"180","어른의 행복은 조용하다 ","글: 태수","페이지2북스","2024","","9791169851053","03810","818","4,230",
"181","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","9","9791188874262","74910","911","4,221",
"182","흔한남매 불꽃 튀는 우리말 5 - 초등 국어 고수 되기 프로젝트","한은호 (지은이), 흔한남매 (원작), 유희석 (그림), 흔한컴퍼니 (감수)","다산어린이","2022","5","9791130679266","","","4,211",
"183","슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식","슈뻘맨 원작 ;류수형 그림","미래엔","2023","3","9791168417786","77400","400","4,206",
"183","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","14","9791190908184","67400","408","4,206",
"185","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","16","9791168120266","67400","408","4,191",
"186","작은 땅의 야수들 :김주혜 장편소설 ","지은이: 김주혜 ;옮긴이: 박소현","다산북스","2022","","9791130693927","03840","843.6","4,188",
"187","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","21","9791191496208","74910","911","4,186",
"187","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","24","9791198179913","74910","911","4,186",
"189","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","25","9791193031025","74910","911","4,169",
"190","여수의 사랑 :한강 소설집 ","지은이: 한강","문학과지성사","2018","","9788932034812","03810","813.62","4,157",
"191","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","23","9791191496642","74910","911","4,149",
"192","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","22","9791191496604","74910","911","4,142",
"193","슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식","슈뻘맨 원작 ;류수형 그림","미래엔","2023","2","9791168415188","77400","400","4,132",
"194","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","11","9791190182737","67400","408","4,129",
"195","사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ","지은이: 유발 하라리 ;옮긴이: 조현욱","김영사","2015","","9788934972464","03900","909","4,128",
"196","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","15","9791191766318","67400","408","4,117",
"197","아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ","제임스 클리어 지음 ;이한이 옮김","비즈니스북스","2019","","9791162540640","03190","181.845","4,116",
"198","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","17","9791165382940","74910","911","4,115",
"199","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","20","9791164067183","73830","833.6","4,104",
"200","국어 잘하는 아이가 이깁니다 :'갓민애' 교수의 초등 국어 달인 만들기 ","나민애 지음","김영사","2024","","9788934965404","13590","375.471","4,092",
